movie,certificate
The Amazing Spider-Man,PG-13
The Holiday,PG-13
He Got Game,R
The Island,PG-13
The Mask of Zorro,PG-13
Bugsy,R
Hidalgo,PG-13
Chhalaang,TV-14
Pirates of the Caribbean: On Stranger Tides,PG-13
The Fate of the Furious,PG-13
Rob-B-Hood,Not Rated
Star Wars: Episode I - The Phantom Menace,PG
Memoria,PG
Space Sweepers,TV-MA
Valerian and the City of a Thousand Planets,PG-13
Henry & June,NC-17
Major Grom: Plague Doctor,TV-14
Ambulance,R
Firefox,PG
White Noise,R
Phone Bhoot,
Chernobyl: Abyss,
Ramayana: The Legend of Prince Rama,PG
Kumbalangi Nights,Not Rated
Khosla Ka Ghosla!,Not Rated
Soodhu Kavvum,Not Rated
Lucia,Not Rated
A Beautiful Mind,PG-13
The Mountain II,
Paan Singh Tomar,Not Rated
