movie,certificate
Romancing the Stone,PG
School Ties,PG-13
All Is Lost,PG-13
Trust,R
Suicide Kings,R
The Crimson Rivers,R
Hesher,R
The Last Wave,PG
Suffragette,PG-13
Junebug,R
In Your Eyes,Not Rated
The Bang Bang Club,R
Roger Dodger,R
The Fast and the Furious,PG-13
Signs,PG-13
Men in Black 3,PG-13
Contagion,PG-13
The Iceman,R
To Die For,R
Stripes,R
Escape from Pretoria,PG-13
Dreamer,PG
Bell Book and Candle,Approved
A Perfect Day,R
The Adam Project,PG-13
The Tender Bar,R
Underworld: Evolution,R
The Jane Austen Book Club,PG-13
A Boy Called Christmas,PG
Le Mans,Approved
Rebel in the Rye,PG-13
Atlantics,TV-14
Martian Child,PG
Quantum of Solace,PG-13
Malcolm & Marie,R
*batteries not included,PG
Promised Land,R
Wish I Was Here,R
Next Gen,TV-PG
Biloxi Blues,PG-13
Alice,PG-13
Eyyvah Eyvah 2,
Insidious: Chapter 2,PG-13
Halloween,R
Night Shift,R
Varsity Blues,R
The Runaways,R
Inferno,R
Ophelia,PG-13
Robin and Marian,PG
Falling in Love,PG-13
Spartan,R
Mars Attacks!,PG-13
Behind Enemy Lines,PG-13
Fright Night,R
Chaos,R
Gremlins 2: The New Batch,PG-13
The Taking of Pelham 123,R
Hardball,PG-13
Final Fantasy: The Spirits Within,PG-13
Brainstorm,PG
The Ottoman Lieutenant,R
Chappaquiddick,PG-13
Extraordinary Measures,PG
"Hail, Caesar!",PG-13
The Deep End of the Ocean,PG-13
Lamb,R
Project Almanac,PG-13
Mindhunters,R
Because of Winn-Dixie,PG
Aniara,R
The Red Baron,PG-13
Wakefield,R
Shopgirl,R
Cars 2,G
Anger Management,PG-13
Kate,R
The Human Stain,R
Shall We Dance,PG-13
The Quake,PG-13
Below Zero,TV-MA
A Little Bit of Heaven,PG-13
Powder Blue,R
Yves Saint Laurent,R
Legend of the Fist: The Return of Chen Zhen,R
"Lyle, Lyle, Crocodile",PG
Deep Rising,R
D2: The Mighty Ducks,PG
Wolf Creek 2,Not Rated
Inkheart,PG
The Jewel of the Nile,PG
Father of the Bride Part II,PG
I Kill Giants,Not Rated
Sky Captain and the World of Tomorrow,PG
Someone to Watch Over Me,R
Trapped,R
We're No Angels,PG-13
What's Your Number?,R
Dragnet,PG-13
My Cousin Rachel,PG-13
Medicine Man,PG-13
Wildcats,R
Annabelle Comes Home,R
The Last Witch Hunter,PG-13
Billy Bathgate,R
She's Having a Baby,PG-13
The Good Neighbor,R
The Tall Man,R
Clash of the Titans,PG-13
The Break-Up,PG-13
Mine,Not Rated
The Glass House,PG-13
Bounce,PG-13
A California Christmas,PG-13
Joshua,R
Beyond a Reasonable Doubt,PG-13
Fantastic Four,PG-13
I Spit on Your Grave 2,R
Percy Jackson: Sea of Monsters,PG
Studio 666,R
Red Planet,PG-13
Something to Talk About,R
Think Like a Man Too,PG-13
Barbershop 2: Back in Business,PG-13
Mirror Mirror,PG
Raw Deal,R
Regression,R
The Skulls,PG-13
Paranoia,PG-13
Home of the Brave,R
Infinite,PG-13
Spiderhead,R
Virtuosity,R
American Renegades,PG-13
Rock the Kasbah,R
The Witches,PG
Serenity,R
Superintelligence,PG
Masters of the Universe,PG
Misconduct,R
Beyond Skyline,R
First Daughter,PG
Abduction,PG-13
Addicted,R
Wild Wild West,PG-13
Charlie's Angels: Full Throttle,PG-13
The World of Apu,Not Rated
Coco,PG
Dial M for Murder,PG
Dhuruvangal Pathinaaru,Not Rated
It Happened One Night,Passed
The Celebration,R
Divorce Italian Style,Not Rated
Edward Scissorhands,PG-13
CrÃ­a Cuervos,PG
The Earrings of Madame De...,Not Rated
Ghostbusters,PG
Kramer vs. Kramer,PG
Oliver Twist,Not Rated
My Night at Maud's,GP
Me and Earl and the Dying Girl,PG-13
The African Queen,PG
Jules and Jim,Not Rated
In America,PG-13
The Great Silence,Not Rated
Vagabond,Not Rated
Dear Frankie,PG-13
Kolya,PG-13
Rise of the Planet of the Apes,PG-13
Mysterious Skin,Unrated
Repulsion,Not Rated
"To Sir, with Love",Approved
The Odd Couple,Passed
Shine,PG-13
A Heart in Winter,
Bilal: A New Breed of Hero,PG-13
The Greatest Showman,PG
Claire's Knee,GP
Submarino,Not Rated
Trapped,Not Rated
Losers' Club,
Limitless,PG-13
In the House,R
High Plains Drifter,R
The Orphanage,R
The Wrong Man,Not Rated
The Dam Busters,Approved
Rudderless,R
Divines,
Beverly Hills Cop,R
Layer Cake,R
Sleepy Hollow,R
Gods and Monsters,R
Project A,PG-13
Reprise,R
The Front Page,PG
Fullmetal Alchemist the Movie: Conqueror of Shamballa,PG-13
The Outfit,R
The Young Victoria,PG
The Beguiled,R
Girl,R
Beginners,R
Barbara,PG-13
Ittefaq,Not Rated
Marshland,TV-MA
The Science of Sleep,R
A Better Tomorrow II,Not Rated
Brothers,R
DC League of Super-Pets,PG
The Tragedy of Macbeth,R
The Big Chill,R
One False Move,R
Ong-Bak: The Thai Warrior,R
The Seven Year Itch,Not Rated
Cemetery Man,R
Like Water for Chocolate,R
Narc,R
God Bless America,R
A Late Quartet,R
Micmacs,R
Ferpect Crime,Not Rated
The Last Boy Scout,R
Planet Terror,R
"I Love You, Man",R
Cop Land,R
Invincible,PG
Ip Man 3,PG-13
Rio Grande,Passed
The Young and Prodigious T.S. Spivet,PG
Don't Torture a Duckling,Not Rated
The Place,
Cinderella,PG
Get Shorty,R
The Stronghold,TV-MA
Weekend,Not Rated
Sleepless in Seattle,PG
Disturbia,PG-13
Dog Soldiers,R
The Golden Voyage of Sinbad,G
Kodachrome,TV-MA
Middle Men,R
Wildlife,PG-13
Intermission,R
Kiss Me,Not Rated
Asteroid City,PG-13
Fire Island,R
Freaks,R
Death Sentence,R
Summer of 84,Not Rated
Performance,R
A Prairie Home Companion,PG-13
Film Stars Don't Die in Liverpool,R
State and Main,R
The Children Act,R
Coco Before Chanel,PG-13
Heartbreaker,Not Rated
X,R
Focus,R
Machete,R
The Wave,R
Last Vegas,PG-13
Star Trek III: The Search for Spock,PG
Wuthering Heights,PG
The Book of Henry,PG-13
Auto Focus,R
The Odd Life of Timothy Green,PG
"Kumiko, The Treasure Hunter",Not Rated
Renaissance,R
Father of the Bride,PG
Out of Time,PG-13
Double Jeopardy,R
Set It Up,TV-14
Letters to Juliet,PG
Batman: The Movie,PG
Emperor,PG-13
December Boys,PG-13
Terri,R
Dear Wendy,Not Rated
She's the Man,PG-13
Luck,G
The Three Musketeers,PG
Death Race,R
Here Comes the Boom,PG
The Frozen Ground,R
Wendell & Wild,PG-13
The Iron Lady,PG-13
The Opposite of Sex,R
Leaves of Grass,R
Shanghai,R
Nativity!,PG
Bachelor Party,R
My Best Friend's Wedding,PG-13
The American,R
Rock Star,R
Cargo,TV-MA
Delivery Man,PG-13
Uncommon Valor,R
City Hunter,PG-13
The Assassin,Not Rated
Dick Tracy,PG
Hackers,PG-13
Jack Ryan: Shadow Recruit,PG-13
VerÃ³nica,TV-MA
The Nanny Diaries,PG-13
Accident Man,R
Tulip Fever,R
Romance & Cigarettes,R
One Wild Moment,Not Rated
Prime,PG-13
Jabberwocky,PG
Lightyear,PG
Big Stan,R
Personal Shopper,R
The House with a Clock in Its Walls,PG
ATL,PG-13
Seeking Justice,R
Below,R
Night at the Museum: Battle of the Smithsonian,PG
Mimic,R
Parental Guidance,PG
Man of Tai Chi,R
Churchill,PG
The Good German,R
Come True,Unrated
Deep Blue Sea,R
The Kissing Booth,TV-14
Keeping Up with the Joneses,PG-13
Hall Pass,R
Abraham Lincoln: Vampire Hunter,R
Doomsday,R
Grind,PG-13
Office Christmas Party,R
Guess Who,PG-13
Jumpin' Jack Flash,R
We Are What We Are,R
Robinson Crusoe,PG-13
What a Girl Wants,PG
Zardoz,R
Troop Beverly Hills,PG
Antebellum,R
Suburbicon,R
Firewall,PG-13
Sierra Burgess Is a Loser,PG-13
Texas Killing Fields,R
You Again,PG
Michael,PG
Playing for Keeps,PG-13
Echelon Conspiracy,PG-13
Pixels,PG-13
Jay and Silent Bob Reboot,R
Life of the Party,PG-13
Beauty Shop,PG-13
Dark Water,PG-13
Major League II,PG
Bringing Down the House,PG-13
Fighting,PG-13
Borderland,R
"67th Street, New York, NY",
Inside,R
Halloween Kills,R
Snakes on a Plane,R
Pompeii,PG-13
Forces of Nature,PG-13
Aloha,PG-13
My Stepmother Is an Alien,PG-13
Stone,R
After,PG-13
The Invitation,PG-13
Maid in Manhattan,PG-13
The Smurfs 2,PG
Doom,R
Jungle 2 Jungle,PG
Desperados,TV-MA
Inconceivable,R
Pinocchio,PG
The Fly II,R
Fire Down Below,R
Holidays,Not Rated
Lucky Numbers,R
After We Collided,R
A Dog's Will,
Tumbbad,Not Rated
A Wednesday,Not Rated
"Goodbye, Children",PG
Stairway to Heaven,PG
Harvey,Approved
"One, Two, Three",Not Rated
Ivy,Not Rated
Get Out,R
Close,PG-13
The Ghost and Mrs. Muir,Not Rated
The Lunchbox,PG
Crimes and Misdemeanors,PG-13
The Phantom of Liberty,R
I Vitelloni,Not Rated
Who Framed Roger Rabbit,PG
The French Connection,R
Der blaue Engel,Passed
Rory O'Shea Was Here,R
The Others,PG-13
Mr. Church,PG-13
God's Own Country,Not Rated
The Taking of Pelham One Two Three,R
Fearless,PG-13
Les MisÃ©rables,R
The Visitor,PG-13
"The Adventures of Priscilla, Queen of the Desert",R
Braindead,R
The Last Detail,R
Doubt,PG-13
Wuthering Heights,Not Rated
Blancanieves,PG-13
Begin Again,R
How to Train Your Dragon: The Hidden World,PG
Inside Llewyn Davis,R
Felon,R
The Rider,R
City Island,PG-13
Jezebel,Approved
Dark Victory,Approved
X-Men,PG-13
Big,PG
The Lego Batman Movie,PG
The Disaster Artist,R
The Edge of Seventeen,R
Jason and the Argonauts,G
The Proposition,R
Mona Lisa,R
Manhattan Murder Mystery,PG
Atlantic City,R
Closer,R
Monsters University,G
Christopher Robin,PG
Ruby Sparks,R
She Wore a Yellow Ribbon,Passed
Cactus Flower,M
A Fantastic Woman,R
The Wing or The Thigh?,
Jumanji,PG
Dressed to Kill,R
Desperado,R
Theater of Blood,R
Into the White,R
My Neighbors the Yamadas,PG
Hard Candy,R
My Own Private Idaho,R
Heart and Souls,PG-13
The Christmas Chronicles,PG
Ladies in Lavender,PG-13
Being Julia,R
The Man Who Invented Christmas,PG
Owning Mahowny,R
Thirteen Conversations About One Thing,R
Eyyvah Eyvah,
Women Talking,PG-13
Paul,R
The Half of It,PG-13
Fantomas,Not Rated
The Dangerous Lives of Altar Boys,R
1408,PG-13
Yes Man,PG-13
The Vow,PG-13
Bernie,PG-13
Jay and Silent Bob Strike Back,R
Mr. Holmes,PG
Brittany Runs a Marathon,R
Slaughterhouse-Five,R
The Boys Are Back,PG-13
Robin Hood: Men in Tights,PG-13
The Company Men,R
Penelope,PG
The Lady in the Van,PG-13
A Whisker Away,TV-PG
The Element of Crime,Not Rated
Men & Chicken,Not Rated
Copying Beethoven,PG-13
Life,R
The Faculty,R
Death Becomes Her,PG-13
X-Men: The Last Stand,PG-13
The Rundown,PG-13
Cracks,R
The Art of Self-Defense,R
Clay Pigeons,R
Shrink,R
PokÃ©mon: Detective Pikachu,PG
The Mighty Ducks,PG
Step Up,PG-13
Three Amigos!,PG
Oculus,R
Loving Adults,TV-MA
The Forbidden Kingdom,PG-13
Entourage,R
Young Guns II,PG-13
The Skeleton Key,PG-13
Mowgli: Legend of the Jungle,PG-13
Black Bear,R
2 Days in the Valley,R
Music and Lyrics,PG-13
The Duke of Burgundy,Not Rated
Wonderland,R
Time Lapse,Not Rated
Genius,PG-13
Subway,R
Meek's Cutoff,PG
Along Came a Spider,R
She's Out of My League,R
Kill Your Darlings,R
Let's Be Cops,R
Tango & Cash,R
Kajillionaire,R
The Survivalist,Not Rated
The Adventures of Ford Fairlane,R
The Last Kiss,R
Pretty Persuasion,R
Twin Dragons,PG-13
The Commuter,PG-13
Mystic Pizza,R
Practical Magic,PG-13
How the Grinch Stole Christmas,PG
Doc Hollywood,PG-13
A Walk in the Woods,R
Love Hard,TV-MA
No Reservations,PG
Only the Lonely,PG-13
Rob the Mob,R
The Astronaut Farmer,PG
Endless Love,PG-13
Tower Heist,PG-13
The Ladykillers,R
Fever Pitch,PG-13
Married to the Mob,R
MI-5,R
I Am Not a Serial Killer,Not Rated
Ticket to Paradise,PG-13
Book Club,PG-13
Desperately Seeking Susan,PG-13
Holidate,TV-MA
Red Heat,R
Solomon Kane,R
In a Valley of Violence,R
The Kid,PG
Eyes of Laura Mars,R
Dragonfly,PG-13
"Tomorrow, When the War Began",R
The Fast and the Furious: Tokyo Drift,PG-13
Mr. Harrigan's Phone,PG-13
The Code,R
Transporter 3,PG-13
Cocktail,R
After.Life,R
The X Files: I Want to Believe,PG-13
Mad Money,PG-13
Fright Night Part 2,R
Mortal,R
The Blue Lagoon,R
Oldboy,R
Splice,R
Miss Bala,PG-13
Confessions of a Shopaholic,PG
The To Do List,R
Reindeer Games,R
Final Score,R
The Factory,R
Cry Macho,PG-13
Blue Crush,PG-13
The Darkest Minds,PG-13
Monster Trucks,PG
The Postcard Killings,Not Rated
The Comeback Trail,R
The Santa Clause 2,G
Christmas Inheritance,
Jeepers Creepers 2,R
A Bad Moms Christmas,R
Amityville II: The Possession,R
Club Dread,R
What Just Happened,R
Mr. 3000,PG-13
The Dead Don't Die,R
The Hot Chick,PG-13
The Day the Earth Stood Still,PG-13
Volcano,PG-13
Beverly Hills Cop III,R
Three Men and a Little Lady,PG
Drive Angry,R
Tank Girl,R
Vampire Academy,PG-13
The Colony,R
D3: The Mighty Ducks,PG
Bulletproof Monk,PG-13
Prom,PG
Rocky V,PG-13
Slaughterhouse Rulez,R
The Back-up Plan,PG-13
Morbius,PG-13
Eragon,PG
The Dukes of Hazzard,PG-13
Summer Catch,PG-13
A Serbian Film,NC-17
The Truman Show,PG
Wolfwalkers,PG
"Spring, Summer, Fall, Winter... and Spring",R
"Rome, Open City",Not Rated
Shame,R
The Wounds,
The Perks of Being a Wallflower,PG-13
Onibaba,Not Rated
Ferris Bueller's Day Off,PG-13
Paddington 2,PG
Kiki's Delivery Service,G
My Left Foot,R
That Obscure Object of Desire,R
Babette's Feast,G
Sword of the Stranger,Not Rated
Destiny,
Ashes and Diamonds,Not Rated
Home Alone,PG
When Marnie Was There,PG
A Letter to Three Wives,Passed
The Killers,Passed
Fireworks,
Mind Game,Not Rated
Saw,R
Dazed and Confused,R
Vampire Hunter D: Bloodlust,R
Kiss Kiss Bang Bang,R
The Time Machine,G
Delhi Belly,Not Rated
Born Yesterday,Not Rated
Fist of Legend,R
Swing Time,Passed
The Way Way Back,PG-13
Transamerica,R
Masculine Feminine,Not Rated
Life Is Sweet,R
Even the Rain,Not Rated
Telling Tales,TV-Y7
Election,R
Stand and Deliver,PG
The Queen,PG-13
Live Flesh,R
The Man from Laramie,Not Rated
A Street Cat Named Bob,Not Rated
The Snow Walker,PG
Easter Parade,G
Heathers,R
Somewhere in Time,PG
10 Cloverfield Lane,PG-13
Dope,R
The Dead Zone,R
Harry Brown,R
The Pink Panther Strikes Again,PG
Death and the Maiden,R
Dogman,Not Rated
Savior,R
Never Let Me Go,R
The Jacket,R
The Muppets,PG
Pieta,Not Rated
A Hijacking,R
Violent Cop,Not Rated
Wazir,Not Rated
Pearl,R
Grumpy Old Men,PG-13
Unleashed,R
Two Hands,R
Funny Face,Not Rated
Exotica,R
The Salton Sea,R
Mrs. Henderson Presents,R
The Sapphires,PG-13
Now Is Good,PG-13
Dhamaka,TV-14
Get Low,PG-13
Outsourced,PG-13
The Flower of My Secret,R
Winter in Wartime,R
The Black Phone,R
King of New York,R
Troll Hunter,PG-13
Our Souls at Night,TV-14
"Patrik, Age 1.5",Unrated
Insidious,PG-13
Frozen II,PG
While You Were Sleeping,PG
Lost and Delirious,R
"See No Evil, Hear No Evil",R
One Chance,PG-13
Mary and the Witch's Flower,PG
No Hard Feelings,R
No Escape,R
Scanners,R
Analyze This,R
Ben Is Back,R
The Curse of the Jade Scorpion,PG-13
Gangster No. 1,R
This Is Where I Leave You,R
The Expendables 2,R
The Final Countdown,PG
Super Dark Times,Not Rated
Freeheld,PG-13
Rosewater,R
Gerald's Game,TV-MA
Possessor,R
Kick-Ass 2,R
Pet Sematary,R
Last Christmas,PG-13
BASEketball,R
Under Siege,R
Ramona and Beezus,G
Home for the Holidays,PG-13
Dobermann,R
The Expendables,R
The Purge: Anarchy,R
DragonHeart,PG-13
The First Wives Club,PG
Peggy Sue Got Married,PG-13
The Rover,R
Star Trek: Insurrection,PG
The Occupant,TV-MA
Laurel Canyon,R
Mark Felt: The Man Who Brought Down the White House,PG-13
Don't Let Go,R
Potiche,R
The Voices,R
Goosebumps,PG
This Means War,PG-13
The Family Stone,PG-13
Vacation Friends,R
Stick It,PG-13
A Life Less Ordinary,R
Charlie Countryman,R
The Meddler,PG-13
Veronika Decides to Die,R
The Thing,R
The Adventures of Buckaroo Banzai Across the 8th Dimension,PG
American Mary,R
Taking Lives,R
War,R
Stigmata,R
Warlock,R
Alfie,R
"New York, I Love You",R
London Boulevard,R
Down and Out in Beverly Hills,R
Infinity Chamber,
The Pope's Exorcist,R
Rookie of the Year,PG
28 Days,PG-13
Vampire's Kiss,R
The Crazies,R
Hocus Pocus 2,PG
The Tourist,PG-13
Horse Girl,R
The Signal,R
The Secret of Moonacre,PG
Gerry,R
Anatomy,R
The Great Wall,PG-13
Conan the Destroyer,PG
Drop Dead Fred,PG-13
Punisher: War Zone,R
Resurrection,R
Immortal,R
The Contractor,R
Look Away,TV-MA
The Wolfman,R
Second Act,PG-13
Raise Your Voice,PG
Switch,R
Uncle Drew,PG-13
Beowulf & Grendel,R
Insidious: The Last Key,PG-13
101 Dalmatians,G
Life or Something Like It,PG-13
Grace of Monaco,Not Rated
Girl Most Likely,PG-13
Faces in the Crowd,R
Outlaw,R
Autumn in New York,PG-13
Wine Country,R
V/H/S/94,R
Employee of the Month,PG-13
Nine Months,PG-13
The Forever Purge,R
The Smurfs,PG
Just My Luck,PG-13
Bliss,R
Daredevil,PG-13
The Wedding Planner,PG-13
Monster Hunter,PG-13
Hubie Halloween,PG-13
The Hurricane Heist,PG-13
Did You Hear About the Morgans?,PG-13
Casablanca,PG
Snatch,R
The Wizard of Oz,PG
Paper Moon,PG
Chungking Express,PG-13
Puss in Boots: The Last Wish,PG
Notorious,Not Rated
Once Were Warriors,R
The Adventures of Robin Hood,PG
Gemide,
Big Hero 6,PG
How to Train Your Dragon 2,PG
Bringing Up Baby,Passed
The Discreet Charm of the Bourgeoisie,PG
Aftersun,R
Lost in Translation,R
Dirty Harry,R
Scarlet Street,Approved
American Psycho,R
RoboCop,R
Hell or High Water,R
Enter the Dragon,R
Searching,PG-13
Lupin III: The Castle of Cagliostro,
Drunken Angel,Not Rated
Fireworks Wednesday,Not Rated
The Crow,R
Contempt,Not Rated
Who Am I,Not Rated
Redline,Not Rated
The Legend of Drunken Master,R
A Man and a Woman,Approved
Galaxy Quest,PG
Frozen,PG
Onward,PG
Garden State,R
Calvary,R
A Shot in the Dark,PG
Pillow Talk,Passed
The Friends of Eddie Coyle,R
Marriage Italian Style,Not Rated
The NeverEnding Story,PG
Living,PG-13
Good Time,R
The Basketball Diaries,R
Eye in the Sky,R
The Bad News Bears,PG
Seven Brides for Seven Brothers,Approved
Ten Inch Hero,R
Jin-Roh: The Wolf Brigade,R
You're Not You,R
"Watch Out, We're Mad",G
Encanto,PG
Go,R
St. Vincent,PG-13
Sleep Tight,Not Rated
The Cincinnati Kid,TV-14
Pump Up the Volume,R
Two-Lane Blacktop,R
House of Games,R
Johnny Stecchino,R
Facing Windows,R
"Love, Rosie",R
Booksmart,R
Cashback,R
Rocky Balboa,PG
Moonstruck,PG
My Bodyguard,PG
The Parallax View,R
The Wings of the Dove,R
Law of Desire,NC-17
We Are the Best!,Not Rated
The Women on the 6th Floor,Not Rated
Barbarian,R
Matilda,PG
Charlie Wilson's War,R
The Words,PG-13
The End of the Affair,R
As Tears Go By,Not Rated
Bob Roberts,R
Adventures in Babysitting,PG-13
My Girl,PG
Play Misty for Me,R
The Thomas Crown Affair,Approved
Altered States,R
The Bob's Burgers Movie,PG-13
Monos,R
Things to Come,PG-13
Tom at the Farm,Not Rated
The 'Burbs,PG
Now and Then,PG-13
Spies in Disguise,PG
Martha Marcy May Marlene,R
Freeway,R
The Diary of a Teenage Girl,R
Devil in a Blue Dress,R
Untamed Heart,PG-13
Cars 3,G
Ghost Town,PG-13
Prince of Darkness,R
Killer Joe,R
Swimming Pool,R
A Walk in the Clouds,PG-13
Pete's Dragon,PG
Seems Like Old Times,PG
Fever Pitch,R
The Escapist,Not Rated
We Have a Pope,Not Rated
The 13th Warrior,R
Man on a Ledge,PG-13
Epic,PG
Happiest Season,PG-13
CBGB,R
16 Blocks,PG-13
The Weather Man,R
Reservation Road,R
Retribution,Not Rated
Sin City: A Dame to Kill For,R
The Hangover Part II,R
The Current War,PG-13
Nightbreed,R
Brewster's Millions,PG
The Big Easy,R
Cruising,R
Against the Ice,TV-MA
Late Night,R
Brad's Status,R
The Freshman,PG
Blackthorn,R
M3GAN,PG-13
17 Again,PG-13
The People Under the Stairs,R
Just Cause,R
The Starling,PG-13
Spies Like Us,PG
Black Death,R
Pacific Heights,R
The Awakening,R
Cake,R
Black Widow,R
Be Kind Rewind,PG-13
Top Five,R
Message from the King,R
Good Kill,R
Crying Freeman,
Being Flynn,R
Don't Tell Mom the Babysitter's Dead,PG-13
Freaky,R
Once Upon a Time in Mexico,R
Barbershop,PG-13
Forever Young,PG
Going the Distance,R
Gloria Bell,R
The Bar,
Possession,PG-13
The Ramen Girl,PG-13
The Other Woman,R
Art School Confidential,R
The Hating Game,R
1922,TV-MA
300: Rise of an Empire,R
Blockers,R
Synchronic,R
Angels in the Outfield,PG
Jersey Girl,PG-13
Ricochet,R
The Hole,R
The Discovery,TV-MA
The Rocker,PG-13
Open Grave,Unrated
The Coldest Game,TV-MA
HouseSitter,PG
Three Men and a Baby,PG
Dora and the Lost City of Gold,PG
Level 16,Not Rated
Universal Soldier,R
Bug,R
The Philadelphia Experiment,PG
The Invisible,PG-13
Grown Ups,PG-13
Dirty Grandpa,R
Six Days Seven Nights,PG-13
Joe Versus the Volcano,PG
Ride Along 2,PG-13
Mickey Blue Eyes,PG-13
Kuffs,PG-13
Skyscraper,PG-13
Rambo III,R
Striking Distance,R
Kin,PG-13
Blue Steel,R
The Toy,PG
Samaritan,PG-13
Strange World,PG
The Watch,R
Wild Mountain Thyme,PG-13
Little Italy,R
Angel Eyes,R
America's Sweethearts,PG-13
How to Talk to Girls at Parties,R
Because I Said So,PG-13
The Kitchen,R
The Intruder,PG-13
Your Highness,R
The Cloverfield Paradox,PG-13
Seventh Son,PG-13
Terminal Velocity,PG-13
Fatale,R
Jennifer's Body,R
Bel Ami,R
Tusk,R
"I Love You, Beth Cooper",PG-13
Land of the Lost,PG-13
A Good Marriage,R
Passion,R
Zookeeper,PG
Racing Stripes,PG
31,R
Return to the Blue Lagoon,PG-13
Agent Cody Banks,PG
Get Carter,R
The Order,R
The Grudge 2,PG-13
Mother of Tears,R
Nobody Sleeps in the Woods Tonight,TV-MA
The Crow: Salvation,R
ZÃ¼gÃ¼rt Aga,
Dil Bechara,Not Rated
A Man Escaped,Not Rated
Before Sunrise,R
Groundhog Day,PG
Infernal Affairs,R
Le SamouraÃ¯,GP
"Quo Vadis, Aida?",
Strangers on a Train,PG
The Lost Weekend,Passed
The Other Me,
Little Miss Sunshine,R
The Sandlot,PG
Isle of Dogs,PG-13
Hunt for the Wilderpeople,PG-13
All About My Mother,R
The Court Jester,Approved
Wreck-It Ralph,PG
This Is England,Not Rated
Breaking Away,PG
Kubo and the Two Strings,PG
Black Narcissus,Not Rated
Two Women,Not Rated
Top Hat,Not Rated
Nimona,PG
The Machinist,R
Gifted,PG-13
The Raid: Redemption,R
Ponyo,G
Sorry We Missed You,Not Rated
Peeping Tom,Not Rated
My Life as a Dog,Unrated
The Passion of Anna,R
The Magician,Not Rated
Still Alice,PG-13
Whale Rider,PG-13
John Wick,R
Never Rarely Sometimes Always,PG-13
American Splendor,R
Noises Off...,PG-13
Maria Full of Grace,R
Adam's Rib,Not Rated
Kona fer Ã­ strÃ­Ã°,Not Rated
Dawn of the Dead,R
Labyrinth,PG
A Walk to Remember,PG
The Secret Garden,G
Drugstore Cowboy,R
Shock Corridor,Not Rated
Christmas in Connecticut,Not Rated
Shame,NC-17
I Am Legend,PG-13
Final Fantasy VII: Advent Children,PG-13
Mrs. Brown,PG
Calamity Jane,Passed
A Soldier's Story,PG
The Dish,PG-13
Neon Genesis Evangelion: Death & Rebirth,Not Rated
Elemental,PG
The Ides of March,R
Day of the Dead,Not Rated
About a Boy,PG-13
It's Kind of a Funny Story,PG-13
Hard Eight,R
Mosul,TV-MA
Three O'Clock High,PG-13
Wild Rose,R
Police Story 2,PG-13
Heartbeats,Not Rated
What Have I Done to Deserve This?,Not Rated
Election,Unrated
Demolition,R
Tie Me Up! Tie Me Down!,R
Tenebrae,R
The Angels' Share,R
The Quiet American,R
Better Luck Tomorrow,R
Peter's Friends,R
Project A 2,PG-13
That's What I Am,PG
The Mask,PG-13
Summer of 85,Not Rated
Heaven Can Wait,PG
The Cutting Edge,PG
Ravenous,R
Trance,R
Scrooged,PG-13
Tigerland,R
Hearts in Atlantis,PG-13
A Girl Walks Home Alone at Night,Not Rated
The Cooler,R
Transit,Not Rated
A Pigeon Sat on a Branch Reflecting on Existence,PG-13
Appleseed,R
Bruce Almighty,PG-13
Exam,Not Rated
Always Be My Maybe,PG-13
Calibre,TV-MA
The War Wagon,Unrated
The Hunting Party,R
OSS 117: Lost in Rio,Not Rated
The Nativity Story,PG
The Running Man,R
The Last Starfighter,PG
A Futile and Stupid Gesture,TV-MA
Where the Wild Things Are,PG
Spun,R
Seeking a Friend for the End of the World,R
Everyone Says I Love You,R
With Honors,PG-13
M. Butterfly,R
Dark Water,PG-13
Postcards from the Edge,R
Mirrormask,PG
Defendor,R
Catch a Fire,PG-13
Burnt,R
The Wedding Ringer,R
Grumpier Old Men,PG-13
High Art,R
Rocket Science,R
Sleeping with Other People,R
Dog,PG-13
Zack and Miri Make a Porno,R
The Crazies,R
Peppermint,R
Spontaneous,R
My Fellow Americans,PG-13
The Ledge,R
District 13: Ultimatum,R
Forget Paris,PG-13
The Deep End,R
The Craft,R
It Could Happen to You,PG
Solace,R
Twilight Zone: The Movie,PG
Last Man Standing,R
Shortbus,Not Rated
The DUFF,PG-13
The Lucky One,PG-13
Red Joan,R
How I Live Now,R
The Night Before,R
Rogue Trader,R
Cold Souls,PG-13
Rio 2,G
All Good Things,R
Johnny English Reborn,PG
Irresistible,R
Down with Love,PG-13
Trespass,R
The Brass Teapot,R
Shade,R
Reign of Fire,PG-13
Zathura: A Space Adventure,PG
Wonder Wheel,PG-13
Eye for an Eye,R
Untraceable,R
Funny Farm,PG
Nightwatch,R
Shadow Dancer,R
Evolution,PG-13
Lifeforce,R
Two Weeks Notice,PG-13
All the Old Knives,R
A Perfect Pairing,TV-14
The Switch,PG-13
Starsky & Hutch,PG-13
The Princess Switch,TV-PG
Assassination Games,R
The Lego Ninjago Movie,PG
Righteous Kill,R
Ricki and the Flash,PG-13
Equals,PG-13
The Woman,R
To All the Boys: P.S. I Still Love You,TV-14
Motel Hell,R
K-9,PG-13
Blood and Wine,R
Fragile,PG-13
It Takes Two,PG
Hide and Seek,R
Curly Sue,PG
Special Correspondents,TV-MA
Kiss of Death,R
200 Cigarettes,R
Teenage Mutant Ninja Turtles,PG-13
I Know What You Did Last Summer,R
Mortal Kombat,PG-13
The Babysitter: Killer Queen,TV-MA
Troll,TV-14
