title,year,runtime,genre,director,stars,rating,metascore,votes,gross
Agent Cody Banks,2003,102,Action,"['Harald Zwart', 'Frankie Muniz', 'Hilary Duff', 'Andrew Francis', 'Angie Harmon']","['Frankie Muniz', 'Hilary Duff', 'Andrew Francis', 'Angie Harmon']",5.1,41,36171,47.94
Get Carter,2000,102,Action,"['Stephen Kay', 'Sylvester Stallone', 'Rachael Leigh Cook', 'Miranda Richardson', 'Rhona Mitra']","['Sylvester Stallone', 'Rachael Leigh Cook', 'Miranda Richardson', 'Rhona Mitra']",5.1,24,35724,14.97
The Order,2003,102,Horror,"['Brian Helgeland', 'Heath Ledger', 'Mark Addy', 'Shannyn Sossamon', 'Benno Fürmann']","['Heath Ledger', 'Mark Addy', 'Shannyn Sossamon', 'Benno Fürmann']",5.1,21,18234,7.66
The Grudge 2,2006,102,Horror,"['Takashi Shimizu', 'Amber Tamblyn', 'Edison Chen', 'Arielle Kebbel', 'Sarah Michelle Gellar']","['Amber Tamblyn', 'Edison Chen', 'Arielle Kebbel', 'Sarah Michelle Gellar']",5,33,50622,39.14
Mother of Tears,2007,102,Drama,"['Dario Argento', 'Asia Argento', 'Cristian Solimeno', 'Adam James', 'Moran Atias']","['Asia Argento', 'Cristian Solimeno', 'Adam James', 'Moran Atias']",5,52,10794,0.06
Nobody Sleeps in the Woods Tonight,2020,102,Fantasy,"['Bartosz M. Kowalski', 'Julia Wieniawa-Narkiewicz', 'Michal Lupa', 'Wiktoria Gasiewska', 'Stanislaw Cywka']","['Julia Wieniawa-Narkiewicz', 'Michal Lupa', 'Wiktoria Gasiewska', 'Stanislaw Cywka']",4.9,,13217,
The Crow: Salvation,2000,102,Action,"['Bharat Nalluri', 'Kirsten Dunst', 'William Atherton', 'Debbie Fan', 'Eric Mabius']","['Kirsten Dunst', 'William Atherton', 'Debbie Fan', 'Eric Mabius']",4.9,,11938,
Zügürt Aga,1985,101,Comedy,"['Nesli Çölgeçen', 'Sener Sen', 'Erdal Özyagcilar', 'Nilgün Nazli', 'Füsun Demirel']","['Sener Sen', 'Erdal Özyagcilar', 'Nilgün Nazli', 'Füsun Demirel']",8.7,,15901,
Dil Bechara,2020,101,Comedy,"['Mukesh Chhabra', 'Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid', 'Saswata Chatterjee']","['Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid', 'Saswata Chatterjee']",8.4,,133237,
A Man Escaped,1956,101,Drama,"['Robert Bresson', 'François Leterrier', 'Charles Le Clainche', 'Maurice Beerblock', 'Roland Monod']","['François Leterrier', 'Charles Le Clainche', 'Maurice Beerblock', 'Roland Monod']",8.2,,23858,
Before Sunrise,1995,101,Drama,"['Richard Linklater', 'Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']",8.1,77,324901,5.54
Groundhog Day,1993,101,Comedy,"['Harold Ramis', 'Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Stephen Tobolowsky']","['Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Stephen Tobolowsky']",8,72,657829,70.91
Infernal Affairs,2002,101,Action,"['Andrew Lau', 'Alan Mak', 'Andy Lau', 'Tony Leung Chiu-wai', 'Anthony Chau-Sang Wong', 'Eric Tsang']","['Alan Mak', 'Andy Lau', 'Tony Leung Chiu-wai', 'Anthony Chau-Sang Wong', 'Eric Tsang']",8,75,128396,0.17
Le Samouraï,1967,101,Crime,"['Jean-Pierre Melville', 'Alain Delon', 'François Périer', 'Nathalie Delon', 'Cathy Rosier']","['Alain Delon', 'François Périer', 'Nathalie Delon', 'Cathy Rosier']",8,,54260,0.04
"Quo Vadis, Aida?",2020,101,Drama,"['Jasmila Zbanic', 'Jasna Djuricic', 'Izudin Bajrovic', 'Boris Ler', 'Dino Bajrovic']","['Jasna Djuricic', 'Izudin Bajrovic', 'Boris Ler', 'Dino Bajrovic']",8,97,36416,
Strangers on a Train,1951,101,Crime,"['Alfred Hitchcock', 'Farley Granger', 'Robert Walker', 'Ruth Roman', 'Leo G. Carroll']","['Farley Granger', 'Robert Walker', 'Ruth Roman', 'Leo G. Carroll']",7.9,88,137721,7.63
The Lost Weekend,1945,101,Drama,"['Billy Wilder', 'Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva']","['Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva']",7.9,,38976,9.46
The Other Me,2016,101,Crime,"['Sotiris Tsafoulias', 'Pigmalion Dadakaridis', 'Dimitris Katalifos', 'Manos Vakousis', 'Ioanna Kolliopoulou']","['Pigmalion Dadakaridis', 'Dimitris Katalifos', 'Manos Vakousis', 'Ioanna Kolliopoulou']",7.9,,12087,
Little Miss Sunshine,2006,101,Comedy,"['Jonathan Dayton', 'Valerie Faris', 'Steve Carell', 'Toni Collette', 'Greg Kinnear', 'Abigail Breslin']","['Valerie Faris', 'Steve Carell', 'Toni Collette', 'Greg Kinnear', 'Abigail Breslin']",7.8,80,501168,59.89
The Sandlot,1993,101,Comedy,"['David Mickey Evans', 'Tom Guiry', 'Mike Vitar', 'Art LaFleur', 'Patrick Renna']","['Tom Guiry', 'Mike Vitar', 'Art LaFleur', 'Patrick Renna']",7.8,55,98237,32.42
Isle of Dogs,2018,101,Animation,"['Wes Anderson', 'Bryan Cranston', 'Koyu Rankin', 'Edward Norton', 'Bob Balaban']","['Bryan Cranston', 'Koyu Rankin', 'Edward Norton', 'Bob Balaban']",7.8,82,181543,32.02
Hunt for the Wilderpeople,2016,101,Adventure,"['Taika Waititi', 'Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']","['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",7.8,81,136421,5.2
All About My Mother,1999,101,Comedy,"['Pedro Almodóvar', 'Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan']","['Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan']",7.8,87,100276,8.26
The Court Jester,1955,101,Adventure,"['Melvin Frank', 'Norman Panama', 'Danny Kaye', 'Glynis Johns', 'Basil Rathbone', 'Angela Lansbury']","['Norman Panama', 'Danny Kaye', 'Glynis Johns', 'Basil Rathbone', 'Angela Lansbury']",7.8,,13437,0.02
Wreck-It Ralph,2012,101,Animation,"['Rich Moore', 'John C. Reilly', 'Jack McBrayer', 'Jane Lynch', 'Sarah Silverman']","['John C. Reilly', 'Jack McBrayer', 'Jane Lynch', 'Sarah Silverman']",7.7,72,442251,189.42
This Is England,2006,101,Crime,"['Shane Meadows', 'Thomas Turgoose', 'Stephen Graham', 'Jo Hartley', 'Andrew Shim']","['Thomas Turgoose', 'Stephen Graham', 'Jo Hartley', 'Andrew Shim']",7.7,86,125820,0.33
Breaking Away,1979,101,Comedy,"['Peter Yates', 'Dennis Christopher', 'Dennis Quaid', 'Daniel Stern', 'Jackie Earle Haley']","['Dennis Christopher', 'Dennis Quaid', 'Daniel Stern', 'Jackie Earle Haley']",7.7,91,24743,16.42
Kubo and the Two Strings,2016,101,Animation,"['Travis Knight', 'Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']","['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']",7.7,84,134968,48.02
Black Narcissus,1947,101,Drama,"['Michael Powell', 'Emeric Pressburger', 'Deborah Kerr', 'David Farrar', 'Flora Robson', 'Jenny Laird']","['Emeric Pressburger', 'Deborah Kerr', 'David Farrar', 'Flora Robson', 'Jenny Laird']",7.7,86,26434,
Two Women,1960,101,Drama,"['Vittorio De Sica', 'Sophia Loren', 'Jean-Paul Belmondo', 'Raf Vallone', 'Eleonora Brown']","['Sophia Loren', 'Jean-Paul Belmondo', 'Raf Vallone', 'Eleonora Brown']",7.7,,11933,
Top Hat,1935,101,Comedy,"['Mark Sandrich', 'Fred Astaire', 'Ginger Rogers', 'Edward Everett Horton', 'Erik Rhodes']","['Fred Astaire', 'Ginger Rogers', 'Edward Everett Horton', 'Erik Rhodes']",7.7,93,20084,3.88
